real, imag
-0.0138262, -0.0136663
1.66314, 0.512151
3.03416, 2.17674
0.135031, -1.5506
0.760708, -0.348639
0.209253, 0.660368
4.15379, -3.99712
-0.253698, -1.32639
1.23238, -0.610528
1.16321, -0.572502
1.47134, 0.621779
3.11066, 1.48829
0.567445, -0.00443964
2.83534, 0.133735
0.401648, 0.35219
-1.62345, -2.10685
1.10904, -1.86236
-0.124448, -0.0568655
4.50223, 1.44817
0.180296, -0.0580977
0.0865387, -0.972055
1.12409, -1.78375
6.11248, 2.67438
2.06738, -1.98482
0.882808, -0.193867
0.0466593, 0.499088
1.0152, -1.08517
0.435006, 2.11654
4.46631, -1.35382
-0.314189, 4.35082
1.6689, 1.82021
1.69934, 0.0349604
1.65177, -0.186128
-0.00378815, 0.288076
-1.9567, 1.86762
1.78339, -2.30195
0.326075, -0.323741
0.569063, -0.132694
-0.0143489, 0.01332
-0.0670858, -0.457666
0.886834, -0.160112
2.39626, 0.884461
-0.494871, -0.0477831
0.00905752, 0.0351308
-0.0221017, -0.109453
-0.0567723, -0.0306655
4.34439, 0.0189117
3.23102, -2.83288
3.83191, 1.18232
0.103458, -0.0317425
0.96647, -0.163307
0.861361, -0.935076
-0.0906959, -0.111116
0.457092, -0.125582
0.191444, 0.245728
-0.210154, -2.14513
5.18606, -3.42861
1.08088, 0.558827
4.23492, 1.28615
0.639387, 1.5091
0.283832, -3.93245
0.0234452, -0.230228
-0.916048, 0.697889
1.55781, -1.62619
4.32669, -8.29268
0.478936, 0.50608
0.0202589, 0.00477765
2.29801, 0.35793
-0.682638, -1.86399
2.28124, -3.08833
-0.621332, 0.288494
-0.0959284, -1.05719
0.592909, -2.54854
0.978894, 0.699036
1.27627, 1.66907
1.22344, 1.30662
1.45255, 1.24947
1.50238, 0.862978
0.407966, -0.762044
0.401394, -0.473056
0.0929858, 0.0421429
2.77591, -0.0176542
2.10283, 0.880104
0.00898917, -0.293249
3.78824, -1.63179
2.22382, -0.672852
-0.300326, -0.107315
-0.530648, -0.10517
0.400077, 0.61283
0.00115426, -0.0605824
2.17156, -3.18264
0.0484721, 0.679165
0.291781, -0.533076
-0.201953, 0.775497
3.6534, -1.79731
4.11221, -0.844754
0.125717, -0.504891
0.658696, -0.707728
0.82452, 0.52795
-0.184102, -0.126258
1.33767, 0.157055
0.895092, -3.03538
1.85029, -0.30109
0.151338, -0.972182
1.37491, -1.78301
1.07019, -0.189571
0.303062, -0.02128
0.0146219, -0.0501292
0.74966, -0.119791
0.509711, -0.314579
1.11201, 2.07585
1.02461, 0.00918544
0.746182, 0.174616
0.287898, 0.13673
1.33768, 0.956591
-0.0293841, -0.303499
0.107221, 0.219189
1.14535, 0.175005
2.6791, 0.522415
1.99831, 1.05125
3.51986, -2.5547
0.569179, 0.604855
1.46606, 0.11247
-0.559898, 1.7106
1.29196, -1.28489
-0.0403628, 0.0184072
1.43745, 1.25154
0.0872331, 0.69679
0.562408, 0.354183
-0.275903, 0.501713
2.38711, -5.03486
